Season,Day_of_the_week,DHI,DNI,GHI,Wind_speed,Humidity,Temperature,PV_production,Wind_production
1,2,96.4,219.2,200.4,6.32,66.764,15.1,4158,1419
1,4,121.0,765.0,710.6,2.36,48.63,15.98,10302,1822
1,1,131.4,375.0,270.4,2.4,54.348,16.98,6824,1636
2,5,0.0,0.0,0.0,1.82,64.496,10.04,0,448
2,3,0.0,0.0,0.0,1.64,70.676,11.1,0,3361
1,2,0.0,0.0,0.0,1.64,61.796,9.5,56,1325
2,1,303.2,435.6,672.4,4.02,50.312,22.02,9696,3698
2,2,148.4,712.4,785.8,3.54,45.228,23.76,10105,1296
2,3,109.2,895.4,801.6,2.44,46.078,24.42,10272,990
1,1,0.0,0.0,0.0,3.54,78.528,5.1,0,1321
1,5,122.6,254.0,247.2,6.14,66.95,14.28,3730,1951
2,2,0.0,0.0,0.0,2.16,83.86,10.58,0,3055
1,1,182.2,726.2,704.2,3.14,45.504,18.82,8609,889
1,6,0.0,0.0,0.0,3.02,69.204,3.74,6,2970
1,6,0.0,0.0,0.0,2.76,77.37,10.54,8,3594
1,1,0.0,0.0,0.0,2.2,80.088,8.22,0,848
1,1,120.4,97.2,157.8,3.64,73.312,10.88,1282,1099
1,4,0.0,0.0,0.0,2.04,60.768,6.06,0,403
1,2,127.0,564.8,449.8,4.36,63.706,13.52,6816,1495
2,5,170.2,874.8,985.8,2.62,38.876,24.08,11081,1296
1,1,121.4,470.0,457.4,3.72,60.462,14.02,5472,1500
1,1,0.0,0.0,0.0,3.3,76.724,11.8,2,1535
1,6,62.6,850.2,405.2,1.42,43.468,16.62,6725,233
1,3,0.0,0.0,0.0,2.08,75.904,9.36,27,3451
1,1,0.0,0.0,0.0,2.94,67.896,3.66,0,2802
2,2,112.6,630.6,454.8,2.7,51.816,16.0,6816,1360
2,1,0.0,0.0,0.0,2.96,75.9,14.56,9,4523
2,6,20.8,82.8,28.0,2.08,75.09,13.6,0,2187
1,4,78.0,770.0,376.6,2.54,39.956,14.44,8058,54
1,6,0.0,0.0,0.0,2.38,79.724,8.2,6,1329
1,2,88.8,977.4,756.0,4.88,43.514,11.42,9505,2599
1,1,0.0,0.0,0.0,2.82,54.99,1.62,0,2763
2,6,169.4,774.4,775.6,3.58,42.734,22.74,8689,3372
1,0,0.0,0.0,0.0,0.92,73.474,9.2,16,165
1,3,0.0,0.0,0.0,5.22,84.608,11.9,0,1954
2,3,0.0,0.0,0.0,1.72,67.434,16.28,0,3172
1,4,63.6,407.8,141.6,3.02,62.846,8.32,2963,3276
1,2,0.0,0.0,0.0,1.1,72.976,10.02,0,125
1,4,0.0,0.0,0.0,1.84,70.44,5.2,3,670
2,5,118.4,402.0,335.4,6.16,52.25,19.1,8449,4875
2,5,88.2,392.8,234.4,3.36,67.274,12.66,1828,2865
1,6,0.0,0.0,0.0,1.54,75.504,7.56,0,2382
1,2,0.0,0.0,0.0,3.5,81.324,10.66,8,2405
1,0,97.4,393.4,246.8,2.42,69.614,11.14,5519,2231
2,2,49.6,464.8,141.6,2.24,57.458,18.12,7911,594
1,5,0.0,0.0,0.0,1.32,58.918,11.98,10,836
1,2,0.0,0.0,0.0,2.26,66.076,2.96,0,3392
1,5,0.0,0.0,0.0,1.7,69.322,8.12,0,2576
1,6,0.0,0.0,0.0,1.64,72.482,6.18,0,338
2,0,0.0,0.0,0.0,1.58,69.08,17.26,48,3850
1,6,0.0,0.0,0.0,3.5,76.274,7.82,4,2423
1,0,109.8,922.8,804.8,1.84,43.812,21.08,10627,268
1,5,0.0,0.0,0.0,1.82,55.386,8.04,96,596
1,4,0.0,0.0,0.0,1.92,78.338,9.58,0,344
1,3,0.0,0.0,0.0,1.86,57.416,8.04,25,971
1,6,131.2,911.0,892.2,2.16,37.168,20.9,8738,475
2,5,59.2,296.6,135.8,3.42,70.696,11.74,119,2495
1,6,0.0,0.0,0.0,2.44,66.3,8.74,129,1158
1,1,0.0,0.0,0.0,2.42,64.846,-0.46,0,738
1,0,0.0,0.0,0.0,3.96,80.156,6.44,4,2283
1,3,154.2,84.0,195.4,5.56,73.58,13.66,2763,2158
1,6,140.6,781.4,639.0,4.68,59.494,8.5,6598,2807
1,3,0.0,0.0,0.0,1.76,54.722,5.78,0,482
1,1,0.0,0.0,0.0,1.88,62.348,4.46,140,2423
1,0,0.0,0.0,0.0,0.84,61.516,13.32,11,174
1,1,0.0,0.0,0.0,1.16,71.914,10.42,0,718
2,6,179.0,743.0,800.8,2.08,46.668,22.68,7988,1043
1,4,235.8,393.0,486.8,5.34,63.53,10.82,4937,2647
1,3,81.4,860.8,517.2,2.36,36.456,13.76,8097,375
1,6,97.8,926.0,735.0,1.34,38.898,20.78,10249,331
1,5,26.8,247.6,47.6,1.58,63.016,14.34,1174,378
1,2,35.6,191.2,54.4,0.98,64.768,13.9,912,185
1,3,91.8,832.8,493.2,2.64,45.376,16.32,8441,614
1,6,65.2,442.0,202.8,3.9,75.384,10.68,4293,1545
1,0,57.2,444.8,145.8,1.82,59.308,14.12,44,198
2,6,188.8,627.6,626.0,2.38,43.734,24.32,9371,1323
1,3,50.2,167.6,79.4,2.92,70.492,10.32,1571,2072
1,5,0.0,0.0,0.0,1.78,86.536,10.92,6,2002
2,2,0.0,0.0,0.0,1.76,78.78,9.22,0,3229
1,4,84.8,919.0,632.0,4.54,55.966,10.18,8976,3399
1,2,0.0,0.0,0.0,3.38,80.934,10.98,0,1822
1,5,118.2,600.2,413.4,4.8,60.87,9.0,7611,3196
2,0,10.2,77.6,14.4,2.84,69.4,11.32,0,1911
2,4,0.0,0.0,0.0,1.38,66.682,12.7,16,2068
1,1,0.0,0.0,0.0,4.94,74.378,8.42,1,3281
1,1,60.8,333.0,145.0,1.66,55.044,17.04,2321,463
2,6,0.0,0.0,0.0,2.24,67.348,17.42,543,3094
1,2,76.8,190.0,150.4,5.78,69.584,14.7,3359,1951
2,0,196.6,542.0,664.4,3.12,49.194,20.06,9534,3473
1,5,103.4,877.0,655.2,2.56,41.806,18.52,10521,859
1,0,0.0,0.0,0.0,4.0,80.244,6.56,4,2311
1,3,0.0,0.0,0.0,1.62,80.782,10.32,55,572
2,5,0.0,0.0,0.0,3.16,72.656,14.5,2,3724
1,6,77.6,647.4,294.8,1.76,51.868,17.76,7095,204
1,5,0.0,0.0,0.0,1.28,79.112,9.14,0,1533
2,2,11.0,85.6,15.2,1.64,82.536,10.82,0,2335
1,5,104.6,906.2,709.2,2.52,41.35,18.68,10300,965
1,2,0.0,0.0,0.0,4.76,67.448,7.9,0,2475
1,4,0.0,0.0,0.0,1.32,57.924,8.94,22,639
1,2,0.0,0.0,0.0,1.84,80.19,9.44,0,2033
2,4,0.0,0.0,0.0,1.38,64.082,15.36,0,227
2,6,0.0,0.0,0.0,2.58,77.25,12.1,0,3328
1,2,8.2,40.6,10.4,2.84,76.772,9.26,17,1955
1,6,0.0,0.0,0.0,1.84,71.354,10.34,1,907
2,3,10.0,74.4,13.6,1.8,65.282,15.98,0,2809
1,5,0.0,0.0,0.0,4.5,80.84,11.14,0,1721
